params,featurization,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 2, 'classifier__p': 1}",unigram,0.19999999999999996,0.27272727272727276,0.4716981132075472,0.19999999999999996,0.29411764705882354,0.2877086065987287,0.09950201409953946
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 2, 'classifier__p': 2}",unigram,0.19999999999999996,0.0,0.19999999999999996,0.10204081632653061,0.10204081632653061,0.12081632653061222,0.07462135433160122
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 3, 'classifier__p': 1}",unigram,0.19999999999999996,0.27272727272727276,0.4716981132075472,0.19999999999999996,0.29411764705882354,0.2877086065987287,0.09950201409953946
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 3, 'classifier__p': 2}",unigram,0.19999999999999996,0.0,0.3846153846153846,0.10204081632653061,0.10204081632653061,0.15773940345368914,0.12988075566948407
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 4, 'classifier__p': 1}",unigram,0.10204081632653061,0.0,0.29411764705882354,0.0,0.0,0.07923169267707084,0.11448075199406618
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 4, 'classifier__p': 2}",unigram,0.0,0.0,0.29411764705882354,0.0,0.0,0.058823529411764705,0.11764705882352941
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 5, 'classifier__p': 1}",unigram,0.10204081632653061,0.0,0.29411764705882354,0.0,0.10204081632653061,0.09963985594237695,0.10741447038783931
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 5, 'classifier__p': 2}",unigram,0.0,0.0,0.29411764705882354,0.0,0.0,0.058823529411764705,0.11764705882352941
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 6, 'classifier__p': 1}",unigram,0.10204081632653061,0.0,0.0,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 6, 'classifier__p': 2}",unigram,0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 7, 'classifier__p': 1}",unigram,0.10204081632653061,0.0,0.10204081632653061,0.0,0.0,0.04081632653061225,0.0499895865874118
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 7, 'classifier__p': 2}",unigram,0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 8, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 8, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 9, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 9, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 10, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 10, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 11, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 11, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 12, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 12, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 13, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 13, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 14, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 14, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 15, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 15, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 2, 'classifier__p': 1}",bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 2, 'classifier__p': 2}",bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 3, 'classifier__p': 1}",bigram,0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 3, 'classifier__p': 2}",bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 4, 'classifier__p': 1}",bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 4, 'classifier__p': 2}",bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 5, 'classifier__p': 1}",bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
