params,featurization,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 2, 'classifier__p': 1}",unigram,0.3846153846153846,0.19999999999999996,0.0,0.10204081632653061,0.10204081632653061,0.15773940345368914,0.12988075566948407
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 2, 'classifier__p': 2}",unigram,0.19999999999999996,0.10204081632653061,0.0,0.10204081632653061,0.10204081632653061,0.10122448979591836,0.06325345511121801
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 3, 'classifier__p': 1}",unigram,0.3846153846153846,0.19999999999999996,0.0,0.10204081632653061,0.10204081632653061,0.15773940345368914,0.12988075566948407
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 3, 'classifier__p': 2}",unigram,0.19999999999999996,0.10204081632653061,0.0,0.10204081632653061,0.10204081632653061,0.10122448979591836,0.06325345511121801
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 4, 'classifier__p': 1}",unigram,0.19999999999999996,0.0,0.0,0.0,0.10204081632653061,0.06040816326530611,0.08020797622574122
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 4, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.10204081632653061,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 5, 'classifier__p': 1}",unigram,0.19999999999999996,0.0,0.0,0.0,0.10204081632653061,0.06040816326530611,0.08020797622574122
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 5, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.10204081632653061,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 6, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 6, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.10204081632653061,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 7, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 7, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.10204081632653061,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 8, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 8, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.10204081632653061,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 9, 'classifier__p': 1}",unigram,0.10204081632653061,0.10204081632653061,0.0,0.0,0.10204081632653061,0.061224489795918366,0.0499895865874118
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 9, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.10204081632653061,0.020408163265306124,0.04081632653061225
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 10, 'classifier__p': 1}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 10, 'classifier__p': 2}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__algorithm': 'ball_tree', 'classifier__leaf_size': 50, 'classifier__n_neighbors': 11, 'classifier__p': 1}",unigram,0.0,0.10204081632653061,0.0,0.0,0.10204081632653061,0.04081632653061225,0.0499895865874118
