params,featurization,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
{'classifier__alpha': 1},"{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.6034482758620691,0.7017543859649122,0.6451612903225806,0.6557377049180327,0.6779661016949153,0.6568135517525019,0.03302088509558194
{'classifier__alpha': 10},"{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.10204081632653061,0.0,0.18518518518518517,0.09999999999999998,0.0,0.07744520030234316,0.07030943856880927
{'classifier__alpha': 100},"{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'classifier__alpha': 1},"{'type': 'bigram', 'named_parameters': {'n': 2, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.6034482758620691,0.5555555555555556,0.634920634920635,0.3571428571428571,0.6140350877192983,0.553020482240083,0.10133888697919258
{'classifier__alpha': 10},"{'type': 'bigram', 'named_parameters': {'n': 2, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.19999999999999996,0.19999999999999996,0.18518518518518517,0.19999999999999996,0.3846153846153846,0.2339601139601139,0.07554584339824927
{'classifier__alpha': 100},"{'type': 'bigram', 'named_parameters': {'n': 2, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'classifier__alpha': 1},"{'type': 'TF-IDF', 'named_parameters': {'n': 1, 'k_highest': None, 'tf_normalize': True}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.10204081632653061,0.19999999999999996,0.27272727272727276,0.3773584905660377,0.19999999999999996,0.2304253159239682,0.09133760758287525
{'classifier__alpha': 10},"{'type': 'TF-IDF', 'named_parameters': {'n': 1, 'k_highest': None, 'tf_normalize': True}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'classifier__alpha': 100},"{'type': 'TF-IDF', 'named_parameters': {'n': 1, 'k_highest': None, 'tf_normalize': True}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
