params,featurization,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
{'classifier__alpha': 1},"{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.873015873015873,0.6250000000000001,0.4545454545454546,0.7017543859649122,0.7894736842105263,0.6887578795473532,0.1436552246698337
{'classifier__alpha': 10},"{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.10204081632653061,0.10204081632653061,0.10204081632653061,0.0,0.0,0.061224489795918366,0.0499895865874118
{'classifier__alpha': 100},"{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'classifier__alpha': 1},"{'type': 'bigram', 'named_parameters': {'n': 2, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.8333333333333334,0.5454545454545454,0.4545454545454546,0.6140350877192983,0.5555555555555556,0.6005847953216374,0.12708049279950545
{'classifier__alpha': 10},"{'type': 'bigram', 'named_parameters': {'n': 2, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.19999999999999996,0.10204081632653061,0.29411764705882354,0.10204081632653061,0.10204081632653061,0.16004801920768305,0.07702640149930218
{'classifier__alpha': 100},"{'type': 'bigram', 'named_parameters': {'n': 2, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'classifier__alpha': 1},"{'type': 'TF-IDF', 'named_parameters': {'n': 1, 'k_highest': None, 'tf_normalize': True}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.4716981132075472,0.10204081632653061,0.29411764705882354,0.19999999999999996,0.19999999999999996,0.25357131531858024,0.1248395520254612
{'classifier__alpha': 10},"{'type': 'TF-IDF', 'named_parameters': {'n': 1, 'k_highest': None, 'tf_normalize': True}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'classifier__alpha': 100},"{'type': 'TF-IDF', 'named_parameters': {'n': 1, 'k_highest': None, 'tf_normalize': True}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
